IP地址,数据中心,地区,城市,网络延迟
172.67.75.104,HKG,Asia Pacific,Hong Kong,71 ms
104.20.30.68,HKG,Asia Pacific,Hong Kong,71 ms
172.67.73.183,HKG,Asia Pacific,Hong Kong,72 ms
162.159.152.130,HKG,Asia Pacific,Hong Kong,72 ms
104.20.22.12,HKG,Asia Pacific,Hong Kong,72 ms
104.26.12.166,HKG,Asia Pacific,Hong Kong,72 ms
172.67.79.113,HKG,Asia Pacific,Hong Kong,72 ms
104.26.2.15,HKG,Asia Pacific,Hong Kong,72 ms
104.20.16.38,HKG,Asia Pacific,Hong Kong,73 ms
104.20.27.145,HKG,Asia Pacific,Hong Kong,73 ms
162.159.129.66,HKG,Asia Pacific,Hong Kong,74 ms
172.67.78.118,HKG,Asia Pacific,Hong Kong,74 ms
172.67.76.186,HKG,Asia Pacific,Hong Kong,74 ms
172.67.74.4,HKG,Asia Pacific,Hong Kong,74 ms
172.65.233.202,MRS,Europe,Marseille,74 ms
104.20.17.74,HKG,Asia Pacific,Hong Kong,74 ms
172.67.68.30,HKG,Asia Pacific,Hong Kong,75 ms
104.26.10.186,HKG,Asia Pacific,Hong Kong,76 ms
104.26.7.216,HKG,Asia Pacific,Hong Kong,77 ms
162.159.143.170,HKG,Asia Pacific,Hong Kong,78 ms
162.159.153.88,HKG,Asia Pacific,Hong Kong,78 ms
104.20.18.25,HKG,Asia Pacific,Hong Kong,79 ms
104.16.142.26,SJC,North America,San Jose,157 ms
104.18.28.171,LAX,North America,Los Angeles,170 ms
104.19.47.43,LAX,North America,Los Angeles,171 ms
172.67.86.115,LAX,North America,Los Angeles,171 ms
104.24.132.23,LAX,North America,Los Angeles,171 ms
104.16.172.222,SJC,North America,San Jose,171 ms
104.20.0.1,LAX,North America,Los Angeles,172 ms
104.25.151.84,LAX,North America,Los Angeles,172 ms
104.16.182.64,SJC,North America,San Jose,172 ms
104.16.153.135,SJC,North America,San Jose,172 ms
104.18.56.69,LAX,North America,Los Angeles,172 ms
104.16.185.125,SJC,North America,San Jose,172 ms
104.18.51.212,LAX,North America,Los Angeles,173 ms
104.24.35.43,LAX,North America,Los Angeles,174 ms
104.24.9.233,LAX,North America,Los Angeles,174 ms
104.20.175.80,LAX,North America,Los Angeles,174 ms
104.27.49.27,LAX,North America,Los Angeles,174 ms
104.18.40.177,LAX,North America,Los Angeles,174 ms
104.25.141.73,LAX,North America,Los Angeles,174 ms
162.159.251.6,LAX,North America,Los Angeles,175 ms
172.67.44.236,LAX,North America,Los Angeles,175 ms
104.22.57.197,LAX,North America,Los Angeles,175 ms
104.24.243.255,LAX,North America,Los Angeles,175 ms
172.67.134.252,LAX,North America,Los Angeles,175 ms
104.27.109.61,LAX,North America,Los Angeles,175 ms
104.21.60.140,LAX,North America,Los Angeles,175 ms
104.16.201.42,SJC,North America,San Jose,175 ms
104.25.184.157,LAX,North America,Los Angeles,175 ms
104.18.50.240,LAX,North America,Los Angeles,176 ms
104.20.49.51,LAX,North America,Los Angeles,176 ms
104.19.2.40,LAX,North America,Los Angeles,176 ms
162.159.39.231,LAX,North America,Los Angeles,176 ms
162.159.23.155,LAX,North America,Los Angeles,176 ms
104.19.75.66,LAX,North America,Los Angeles,176 ms
104.27.77.35,LAX,North America,Los Angeles,176 ms
104.24.18.128,LAX,North America,Los Angeles,177 ms
104.25.76.6,SJC,North America,San Jose,177 ms
104.23.125.14,LAX,North America,Los Angeles,177 ms
104.19.7.141,LAX,North America,Los Angeles,177 ms
162.159.26.252,LAX,North America,Los Angeles,177 ms
104.25.98.6,LAX,North America,Los Angeles,177 ms
104.25.132.98,LAX,North America,Los Angeles,177 ms
172.67.23.193,LAX,North America,Los Angeles,177 ms
104.20.220.92,LAX,North America,Los Angeles,177 ms
104.19.89.100,LAX,North America,Los Angeles,177 ms
104.24.82.72,LAX,North America,Los Angeles,177 ms
104.27.100.41,LAX,North America,Los Angeles,178 ms
172.67.225.195,LAX,North America,Los Angeles,178 ms
104.20.127.40,LAX,North America,Los Angeles,178 ms
104.20.123.214,LAX,North America,Los Angeles,178 ms
172.67.189.107,LAX,North America,Los Angeles,178 ms
104.19.118.34,LAX,North America,Los Angeles,178 ms
104.24.61.52,LAX,North America,Los Angeles,178 ms
104.25.82.186,LAX,North America,Los Angeles,178 ms
172.64.68.235,LAX,North America,Los Angeles,178 ms
104.20.192.66,LAX,North America,Los Angeles,178 ms
104.19.143.97,LAX,North America,Los Angeles,178 ms
104.20.157.5,LAX,North America,Los Angeles,178 ms
104.21.103.46,LAX,North America,Los Angeles,178 ms
162.159.240.193,LAX,North America,Los Angeles,178 ms
104.21.112.212,LAX,North America,Los Angeles,179 ms
104.20.83.250,LAX,North America,Los Angeles,179 ms
104.24.53.124,LAX,North America,Los Angeles,179 ms
104.18.58.235,LAX,North America,Los Angeles,179 ms
188.114.97.59,SJC,North America,San Jose,179 ms
104.25.197.86,LAX,North America,Los Angeles,179 ms
104.24.89.161,LAX,North America,Los Angeles,179 ms
172.67.6.8,LAX,North America,Los Angeles,179 ms
172.67.151.164,LAX,North America,Los Angeles,179 ms
104.19.51.74,LAX,North America,Los Angeles,179 ms
104.18.46.88,LAX,North America,Los Angeles,179 ms
104.24.46.84,LAX,North America,Los Angeles,179 ms
104.18.43.215,LAX,North America,Los Angeles,180 ms
104.20.213.239,LAX,North America,Los Angeles,180 ms
172.67.253.110,LAX,North America,Los Angeles,180 ms
104.20.214.183,LAX,North America,Los Angeles,180 ms
104.19.206.120,LAX,North America,Los Angeles,180 ms
104.21.47.43,LAX,North America,Los Angeles,180 ms
104.22.65.106,LAX,North America,Los Angeles,180 ms
104.20.180.54,LAX,North America,Los Angeles,180 ms
198.41.215.7,LAX,North America,Los Angeles,180 ms
104.27.24.168,LAX,North America,Los Angeles,180 ms
104.24.150.101,LAX,North America,Los Angeles,180 ms
104.19.82.230,LAX,North America,Los Angeles,180 ms
104.20.115.142,LAX,North America,Los Angeles,180 ms
104.25.219.31,LAX,North America,Los Angeles,180 ms
104.27.59.165,LAX,North America,Los Angeles,180 ms
198.41.207.158,LAX,North America,Los Angeles,180 ms
104.25.50.13,LAX,North America,Los Angeles,180 ms
104.27.21.101,LAX,North America,Los Angeles,180 ms
104.18.47.93,LAX,North America,Los Angeles,180 ms
104.27.39.234,LAX,North America,Los Angeles,180 ms
104.25.208.129,LAX,North America,Los Angeles,180 ms
104.25.40.4,LAX,North America,Los Angeles,180 ms
104.25.161.127,LAX,North America,Los Angeles,181 ms
104.21.33.118,LAX,North America,Los Angeles,181 ms
162.159.246.249,LAX,North America,Los Angeles,181 ms
104.24.56.152,LAX,North America,Los Angeles,181 ms
104.24.44.191,LAX,North America,Los Angeles,181 ms
104.25.198.209,LAX,North America,Los Angeles,181 ms
104.24.173.124,LAX,North America,Los Angeles,181 ms
104.24.17.110,LAX,North America,Los Angeles,181 ms
172.64.33.197,LAX,North America,Los Angeles,181 ms
104.19.99.166,LAX,North America,Los Angeles,181 ms
104.25.230.15,LAX,North America,Los Angeles,181 ms
162.159.247.246,LAX,North America,Los Angeles,181 ms
104.25.226.27,LAX,North America,Los Angeles,181 ms
104.20.191.114,LAX,North America,Los Angeles,181 ms
104.18.54.251,LAX,North America,Los Angeles,181 ms
104.21.45.218,LAX,North America,Los Angeles,181 ms
104.22.60.112,LAX,North America,Los Angeles,181 ms
104.25.85.218,LAX,North America,Los Angeles,181 ms
104.21.235.208,SJC,North America,San Jose,181 ms
104.27.38.43,LAX,North America,Los Angeles,181 ms
104.24.202.103,LAX,North America,Los Angeles,181 ms
104.25.238.217,LAX,North America,Los Angeles,181 ms
172.64.147.103,LAX,North America,Los Angeles,182 ms
104.21.237.132,SJC,North America,San Jose,182 ms
104.24.167.53,LAX,North America,Los Angeles,182 ms
104.25.185.171,LAX,North America,Los Angeles,182 ms
104.22.36.77,LAX,North America,Los Angeles,182 ms
172.67.30.62,LAX,North America,Los Angeles,182 ms
172.67.16.141,LAX,North America,Los Angeles,182 ms
104.21.230.199,SJC,North America,San Jose,182 ms
104.25.223.141,LAX,North America,Los Angeles,182 ms
198.41.212.128,SEA,North America,Seattle,182 ms
104.20.53.216,LAX,North America,Los Angeles,182 ms
104.18.1.13,LAX,North America,Los Angeles,182 ms
104.20.173.137,LAX,North America,Los Angeles,182 ms
104.20.63.33,LAX,North America,Los Angeles,182 ms
162.159.40.51,LAX,North America,Los Angeles,182 ms
104.19.207.51,LAX,North America,Los Angeles,182 ms
104.25.100.104,SJC,North America,San Jose,182 ms
104.16.150.18,SJC,North America,San Jose,182 ms
162.159.254.85,LAX,North America,Los Angeles,182 ms
104.25.252.143,LAX,North America,Los Angeles,182 ms
104.25.212.168,LAX,North America,Los Angeles,182 ms
104.27.64.105,LAX,North America,Los Angeles,182 ms
104.19.72.150,LAX,North America,Los Angeles,182 ms
104.22.77.198,LAX,North America,Los Angeles,182 ms
172.67.62.89,LAX,North America,Los Angeles,182 ms
104.18.101.5,SJC,North America,San Jose,182 ms
104.24.225.23,LAX,North America,Los Angeles,182 ms
172.64.42.125,LAX,North America,Los Angeles,182 ms
104.19.86.142,LAX,North America,Los Angeles,182 ms
104.25.242.20,LAX,North America,Los Angeles,182 ms
104.25.44.156,LAX,North America,Los Angeles,182 ms
104.19.117.239,LAX,North America,Los Angeles,182 ms
104.16.163.41,SJC,North America,San Jose,182 ms
104.18.39.31,LAX,North America,Los Angeles,182 ms
104.24.188.0,LAX,North America,Los Angeles,182 ms
104.19.134.231,LAX,North America,Los Angeles,182 ms
104.22.53.100,LAX,North America,Los Angeles,183 ms
198.41.206.159,LAX,North America,Los Angeles,183 ms
104.16.129.255,SJC,North America,San Jose,183 ms
162.159.252.20,LAX,North America,Los Angeles,183 ms
104.24.242.34,LAX,North America,Los Angeles,183 ms
104.19.31.155,LAX,North America,Los Angeles,183 ms
104.21.197.80,LAX,North America,Los Angeles,183 ms
162.159.48.197,LAX,North America,Los Angeles,183 ms
104.16.144.146,SJC,North America,San Jose,183 ms
104.27.68.214,LAX,North America,Los Angeles,183 ms
104.25.245.245,LAX,North America,Los Angeles,183 ms
104.20.2.223,LAX,North America,Los Angeles,183 ms
104.18.55.91,LAX,North America,Los Angeles,183 ms
172.64.69.75,LAX,North America,Los Angeles,183 ms
104.20.177.42,LAX,North America,Los Angeles,183 ms
104.19.135.215,LAX,North America,Los Angeles,183 ms
104.20.222.1,LAX,North America,Los Angeles,183 ms
104.25.130.164,LAX,North America,Los Angeles,183 ms
104.25.167.6,LAX,North America,Los Angeles,183 ms
104.19.15.7,LAX,North America,Los Angeles,184 ms
104.18.27.178,LAX,North America,Los Angeles,184 ms
104.22.35.55,LAX,North America,Los Angeles,184 ms
104.20.140.126,LAX,North America,Los Angeles,184 ms
172.67.50.124,LAX,North America,Los Angeles,184 ms
104.18.31.153,LAX,North America,Los Angeles,184 ms
173.245.49.118,LAX,North America,Los Angeles,184 ms
104.22.72.253,LAX,North America,Los Angeles,184 ms
104.23.123.201,LAX,North America,Los Angeles,184 ms
104.18.26.157,LAX,North America,Los Angeles,184 ms
104.18.25.41,LAX,North America,Los Angeles,184 ms
104.25.215.11,LAX,North America,Los Angeles,184 ms
104.20.66.24,LAX,North America,Los Angeles,184 ms
104.22.12.206,LAX,North America,Los Angeles,184 ms
104.24.219.251,LAX,North America,Los Angeles,184 ms
104.20.108.117,LAX,North America,Los Angeles,184 ms
104.24.60.176,LAX,North America,Los Angeles,184 ms
104.25.121.120,LAX,North America,Los Angeles,184 ms
104.23.96.210,LAX,North America,Los Angeles,184 ms
104.27.10.121,LAX,North America,Los Angeles,184 ms
172.64.50.209,LAX,North America,Los Angeles,184 ms
104.24.131.159,LAX,North America,Los Angeles,184 ms
104.24.0.6,LAX,North America,Los Angeles,184 ms
104.18.10.206,LAX,North America,Los Angeles,184 ms
104.19.19.182,LAX,North America,Los Angeles,184 ms
104.19.17.234,LAX,North America,Los Angeles,184 ms
104.24.93.138,LAX,North America,Los Angeles,184 ms
104.25.96.139,SJC,North America,San Jose,184 ms
172.67.31.23,LAX,North America,Los Angeles,184 ms
172.67.141.119,LAX,North America,Los Angeles,184 ms
172.67.100.180,LAX,North America,Los Angeles,184 ms
104.24.134.52,LAX,North America,Los Angeles,184 ms
104.20.158.238,LAX,North America,Los Angeles,184 ms
162.159.2.41,LAX,North America,Los Angeles,184 ms
162.159.4.20,LAX,North America,Los Angeles,184 ms
104.24.197.60,LAX,North America,Los Angeles,184 ms
104.25.249.191,LAX,North America,Los Angeles,184 ms
104.27.80.101,LAX,North America,Los Angeles,184 ms
104.20.80.134,LAX,North America,Los Angeles,184 ms
104.19.105.43,LAX,North America,Los Angeles,184 ms
104.25.206.88,LAX,North America,Los Angeles,184 ms
104.23.108.25,LAX,North America,Los Angeles,184 ms
162.159.7.170,LAX,North America,Los Angeles,184 ms
104.24.81.52,LAX,North America,Los Angeles,185 ms
104.20.249.207,LAX,North America,Los Angeles,185 ms
104.24.211.3,LAX,North America,Los Angeles,185 ms
104.25.69.64,LAX,North America,Los Angeles,185 ms
104.16.147.59,SJC,North America,San Jose,185 ms
104.27.55.197,LAX,North America,Los Angeles,185 ms
172.67.11.135,LAX,North America,Los Angeles,185 ms
104.19.88.201,LAX,North America,Los Angeles,185 ms
104.19.18.49,LAX,North America,Los Angeles,185 ms
104.27.94.60,LAX,North America,Los Angeles,185 ms
172.67.90.189,LAX,North America,Los Angeles,185 ms
104.27.17.99,LAX,North America,Los Angeles,185 ms
104.19.49.236,LAX,North America,Los Angeles,185 ms
104.20.225.234,LAX,North America,Los Angeles,185 ms
104.18.2.225,LAX,North America,Los Angeles,185 ms
172.64.35.249,LAX,North America,Los Angeles,185 ms
104.20.121.171,LAX,North America,Los Angeles,185 ms
104.24.222.60,LAX,North America,Los Angeles,185 ms
104.21.91.31,LAX,North America,Los Angeles,185 ms
162.159.62.158,LAX,North America,Los Angeles,185 ms
162.159.16.101,LAX,North America,Los Angeles,185 ms
162.159.207.236,LAX,North America,Los Angeles,185 ms
104.18.14.71,LAX,North America,Los Angeles,185 ms
104.25.191.209,LAX,North America,Los Angeles,185 ms
104.24.246.130,LAX,North America,Los Angeles,185 ms
104.20.55.152,LAX,North America,Los Angeles,185 ms
104.22.43.20,LAX,North America,Los Angeles,185 ms
172.67.36.37,LAX,North America,Los Angeles,185 ms
104.20.172.233,LAX,North America,Los Angeles,185 ms
104.25.133.123,LAX,North America,Los Angeles,185 ms
104.20.111.136,LAX,North America,Los Angeles,185 ms
172.67.81.64,LAX,North America,Los Angeles,185 ms
104.20.155.180,LAX,North America,Los Angeles,185 ms
104.19.64.18,LAX,North America,Los Angeles,185 ms
104.27.20.33,LAX,North America,Los Angeles,185 ms
104.19.21.133,LAX,North America,Los Angeles,185 ms
104.25.234.102,LAX,North America,Los Angeles,185 ms
172.67.57.124,LAX,North America,Los Angeles,185 ms
104.20.164.89,LAX,North America,Los Angeles,185 ms
104.20.79.246,LAX,North America,Los Angeles,185 ms
104.20.195.57,LAX,North America,Los Angeles,185 ms
104.19.53.13,LAX,North America,Los Angeles,185 ms
104.23.122.34,LAX,North America,Los Angeles,185 ms
104.22.4.49,LAX,North America,Los Angeles,186 ms
104.18.38.15,LAX,North America,Los Angeles,186 ms
162.159.49.187,LAX,North America,Los Angeles,186 ms
104.25.189.111,LAX,North America,Los Angeles,186 ms
172.67.136.73,LAX,North America,Los Angeles,186 ms
104.20.103.110,LAX,North America,Los Angeles,186 ms
104.19.90.94,LAX,North America,Los Angeles,186 ms
104.25.243.0,LAX,North America,Los Angeles,186 ms
104.27.16.249,LAX,North America,Los Angeles,186 ms
104.27.79.158,LAX,North America,Los Angeles,186 ms
104.24.42.41,LAX,North America,Los Angeles,186 ms
104.25.113.234,LAX,North America,Los Angeles,186 ms
172.67.105.115,LAX,North America,Los Angeles,186 ms
172.67.40.74,LAX,North America,Los Angeles,186 ms
198.41.205.243,LAX,North America,Los Angeles,186 ms
104.20.219.32,LAX,North America,Los Angeles,186 ms
104.19.3.231,LAX,North America,Los Angeles,186 ms
104.25.128.201,LAX,North America,Los Angeles,186 ms
104.21.193.104,LAX,North America,Los Angeles,186 ms
104.24.139.185,LAX,North America,Los Angeles,186 ms
198.41.193.81,LAX,North America,Los Angeles,186 ms
104.20.216.74,LAX,North America,Los Angeles,186 ms
172.67.27.89,LAX,North America,Los Angeles,186 ms
104.20.218.228,LAX,North America,Los Angeles,186 ms
104.19.68.47,LAX,North America,Los Angeles,186 ms
104.25.46.129,LAX,North America,Los Angeles,186 ms
104.20.181.7,LAX,North America,Los Angeles,186 ms
104.25.61.121,LAX,North America,Los Angeles,186 ms
104.25.210.231,LAX,North America,Los Angeles,186 ms
104.20.91.211,LAX,North America,Los Angeles,186 ms
104.21.221.115,LAX,North America,Los Angeles,186 ms
104.24.228.188,LAX,North America,Los Angeles,186 ms
104.27.118.90,LAX,North America,Los Angeles,186 ms
104.19.26.104,LAX,North America,Los Angeles,186 ms
104.25.127.211,LAX,North America,Los Angeles,186 ms
104.24.34.179,LAX,North America,Los Angeles,186 ms
162.159.20.66,LAX,North America,Los Angeles,186 ms
104.19.39.250,LAX,North America,Los Angeles,186 ms
104.24.253.204,LAX,North America,Los Angeles,186 ms
172.67.8.22,LAX,North America,Los Angeles,186 ms
172.67.18.227,LAX,North America,Los Angeles,186 ms
104.19.196.65,LAX,North America,Los Angeles,186 ms
104.21.39.41,LAX,North America,Los Angeles,186 ms
104.25.75.25,SJC,North America,San Jose,186 ms
172.67.107.26,LAX,North America,Los Angeles,187 ms
104.19.5.84,LAX,North America,Los Angeles,187 ms
104.25.222.109,LAX,North America,Los Angeles,187 ms
104.24.223.44,LAX,North America,Los Angeles,187 ms
104.27.70.214,LAX,North America,Los Angeles,187 ms
104.18.22.210,LAX,North America,Los Angeles,187 ms
104.25.54.191,LAX,North America,Los Angeles,187 ms
104.27.81.242,LAX,North America,Los Angeles,187 ms
172.65.220.24,LAX,North America,Los Angeles,187 ms
104.27.26.167,LAX,North America,Los Angeles,187 ms
172.67.113.18,LAX,North America,Los Angeles,187 ms
104.22.69.215,LAX,North America,Los Angeles,187 ms
104.19.61.240,LAX,North America,Los Angeles,187 ms
104.25.170.96,LAX,North America,Los Angeles,187 ms
104.19.50.241,LAX,North America,Los Angeles,187 ms
172.67.10.96,LAX,North America,Los Angeles,187 ms
104.24.252.229,LAX,North America,Los Angeles,187 ms
104.25.72.4,LAX,North America,Los Angeles,187 ms
104.19.27.65,LAX,North America,Los Angeles,187 ms
104.25.251.73,LAX,North America,Los Angeles,187 ms
162.159.25.7,LAX,North America,Los Angeles,187 ms
198.41.199.122,LAX,North America,Los Angeles,187 ms
104.20.82.36,LAX,North America,Los Angeles,187 ms
104.21.24.164,LAX,North America,Los Angeles,187 ms
104.20.11.167,LAX,North America,Los Angeles,187 ms
104.24.48.120,LAX,North America,Los Angeles,187 ms
172.67.123.31,LAX,North America,Los Angeles,187 ms
104.19.60.121,LAX,North America,Los Angeles,187 ms
172.64.144.84,LAX,North America,Los Angeles,187 ms
104.24.54.181,LAX,North America,Los Angeles,187 ms
104.19.25.172,LAX,North America,Los Angeles,187 ms
104.18.42.139,LAX,North America,Los Angeles,187 ms
104.20.37.243,LAX,North America,Los Angeles,187 ms
104.24.76.219,LAX,North America,Los Angeles,187 ms
172.67.198.64,LAX,North America,Los Angeles,187 ms
104.25.202.114,LAX,North America,Los Angeles,187 ms
172.67.32.156,LAX,North America,Los Angeles,187 ms
104.27.69.68,LAX,North America,Los Angeles,187 ms
104.24.3.235,LAX,North America,Los Angeles,187 ms
162.159.250.124,LAX,North America,Los Angeles,187 ms
172.67.94.144,LAX,North America,Los Angeles,187 ms
104.23.107.162,LAX,North America,Los Angeles,187 ms
104.24.187.205,LAX,North America,Los Angeles,187 ms
172.64.148.155,LAX,North America,Los Angeles,187 ms
104.25.111.17,LAX,North America,Los Angeles,187 ms
104.24.41.238,LAX,North America,Los Angeles,187 ms
172.67.102.51,LAX,North America,Los Angeles,187 ms
162.159.46.145,LAX,North America,Los Angeles,187 ms
104.20.186.57,LAX,North America,Los Angeles,187 ms
104.24.141.193,LAX,North America,Los Angeles,188 ms
104.25.38.184,LAX,North America,Los Angeles,188 ms
172.67.91.47,LAX,North America,Los Angeles,188 ms
104.24.92.83,LAX,North America,Los Angeles,188 ms
104.19.33.136,LAX,North America,Los Angeles,188 ms
104.20.250.106,LAX,North America,Los Angeles,188 ms
172.67.47.59,LAX,North America,Los Angeles,188 ms
104.19.197.136,LAX,North America,Los Angeles,188 ms
172.64.41.231,LAX,North America,Los Angeles,188 ms
104.19.35.70,LAX,North America,Los Angeles,188 ms
104.24.67.3,LAX,North America,Los Angeles,188 ms
108.162.196.248,LAX,North America,Los Angeles,188 ms
104.24.8.82,LAX,North America,Los Angeles,188 ms
104.25.13.170,LAX,North America,Los Angeles,188 ms
104.25.195.240,LAX,North America,Los Angeles,188 ms
104.19.28.72,LAX,North America,Los Angeles,188 ms
104.24.78.182,LAX,North America,Los Angeles,188 ms
104.25.91.31,LAX,North America,Los Angeles,188 ms
198.41.200.185,LAX,North America,Los Angeles,188 ms
104.19.23.49,LAX,North America,Los Angeles,188 ms
104.24.191.220,LAX,North America,Los Angeles,188 ms
104.18.19.188,LAX,North America,Los Angeles,188 ms
104.21.69.204,LAX,North America,Los Angeles,188 ms
104.20.38.64,LAX,North America,Los Angeles,188 ms
104.19.195.105,LAX,North America,Los Angeles,188 ms
104.18.59.26,LAX,North America,Los Angeles,188 ms
104.19.108.14,LAX,North America,Los Angeles,188 ms
104.25.177.60,LAX,North America,Los Angeles,188 ms
104.19.124.232,LAX,North America,Los Angeles,188 ms
104.16.145.100,SJC,North America,San Jose,188 ms
104.20.54.232,LAX,North America,Los Angeles,188 ms
104.25.241.196,LAX,North America,Los Angeles,188 ms
172.64.159.32,LAX,North America,Los Angeles,188 ms
104.19.120.69,LAX,North America,Los Angeles,188 ms
104.20.113.8,LAX,North America,Los Angeles,188 ms
104.17.207.6,SJC,North America,San Jose,188 ms
104.25.83.44,LAX,North America,Los Angeles,188 ms
104.24.239.197,LAX,North America,Los Angeles,188 ms
198.41.222.217,LAX,North America,Los Angeles,188 ms
104.18.37.2,LAX,North America,Los Angeles,188 ms
104.20.9.202,LAX,North America,Los Angeles,188 ms
104.27.62.0,LAX,North America,Los Angeles,188 ms
104.24.218.54,LAX,North America,Los Angeles,188 ms
104.20.101.91,LAX,North America,Los Angeles,188 ms
104.24.174.255,LAX,North America,Los Angeles,188 ms
104.19.87.7,LAX,North America,Los Angeles,188 ms
104.21.223.245,LAX,North America,Los Angeles,188 ms
104.24.215.28,LAX,North America,Los Angeles,188 ms
172.64.146.170,LAX,North America,Los Angeles,188 ms
198.41.214.78,LAX,North America,Los Angeles,188 ms
104.25.227.109,LAX,North America,Los Angeles,188 ms
162.159.239.103,LAX,North America,Los Angeles,188 ms
104.27.44.19,LAX,North America,Los Angeles,188 ms
162.159.12.65,LAX,North America,Los Angeles,188 ms
104.20.12.41,LAX,North America,Los Angeles,188 ms
104.20.228.96,LAX,North America,Los Angeles,188 ms
104.25.55.185,LAX,North America,Los Angeles,188 ms
104.20.70.164,LAX,North America,Los Angeles,188 ms
104.19.127.242,LAX,North America,Los Angeles,188 ms
104.24.45.130,LAX,North America,Los Angeles,188 ms
104.27.120.186,LAX,North America,Los Angeles,188 ms
172.67.48.209,LAX,North America,Los Angeles,188 ms
104.19.58.82,LAX,North America,Los Angeles,188 ms
104.20.201.230,LAX,North America,Los Angeles,189 ms
172.67.164.34,LAX,North America,Los Angeles,189 ms
162.159.206.78,LAX,North America,Los Angeles,189 ms
104.25.193.175,LAX,North America,Los Angeles,189 ms
104.19.106.43,LAX,North America,Los Angeles,189 ms
172.67.92.24,LAX,North America,Los Angeles,189 ms
104.23.126.84,LAX,North America,Los Angeles,189 ms
104.24.57.240,LAX,North America,Los Angeles,189 ms
104.20.185.3,LAX,North America,Los Angeles,189 ms
162.159.249.198,LAX,North America,Los Angeles,189 ms
104.20.253.170,LAX,North America,Los Angeles,189 ms
162.159.33.52,LAX,North America,Los Angeles,189 ms
104.24.24.149,LAX,North America,Los Angeles,189 ms
104.20.77.7,LAX,North America,Los Angeles,189 ms
104.20.76.188,LAX,North America,Los Angeles,189 ms
172.67.96.248,LAX,North America,Los Angeles,189 ms
104.16.254.193,SJC,North America,San Jose,189 ms
104.21.111.168,LAX,North America,Los Angeles,189 ms
104.24.88.26,LAX,North America,Los Angeles,189 ms
104.20.104.149,LAX,North America,Los Angeles,189 ms
104.20.95.234,LAX,North America,Los Angeles,189 ms
172.64.52.128,LAX,North America,Los Angeles,189 ms
104.27.113.9,LAX,North America,Los Angeles,189 ms
104.20.130.94,LAX,North America,Los Angeles,189 ms
104.24.138.210,LAX,North America,Los Angeles,189 ms
104.19.6.62,LAX,North America,Los Angeles,189 ms
104.18.17.229,LAX,North America,Los Angeles,189 ms
104.18.21.133,LAX,North America,Los Angeles,189 ms
